"'title'","'href'","'artist"'
"'Hey Jude'","'/track/2ySo88kklnq9WHsFxOHEkm'","'Wilson Pickett"'
"'Day O (Banana Boat Song)'","'/track/4wK8K25xciRfVbOQXPKQIf'","'Harry Belafonte"'
"'Call Me'","'/track/4qO03RMQm88DdpTJcxlglY'","'Blondie"'
"'La lettre'","'/track/2qaFgVtoMyWAb53M1UcCjj'","'Renan Luce"'
"'Un enfant de toi'","'/track/27vx6k0f8PbuXgBepw8BNT'","'Phil Barney"'
"'We Have All The Time In The World'","'/track/1anz62AFifDUybo17nqCdj'","'Amalia Gre'"'
"'We Have All The Time In The World - From “On Her Majesty’s Secret Service” Soundtrack / Remastered 2003'","'/track/0OAnoLrIVxpdne3mkVLrwr'","'Louis Armstrong"'
"'On Her Majestys Secret Service (From "'"'On Her Majestys Secret Service"'"')'","'/track/4f2CoeOrvSkshgOeItcbuu'","'007 Collective"'
"'Feeling Good'","'/track/6Rqn2GFlmvmV4w9Ala0I1e'","'Nina Simone"'
"'Toi + Moi'","'/track/1cl6UxttwMTjJXsdyMDUde'","'Grégoire"'
"'Caroline'","'/track/7esR7jO5Fyl78B6CwwhZJy'","'MC Solaar"'
"'No Ordinary Love - 2005 Remaster'","'/track/3dxW4bDfwEf9czzg0yh8eb'","'Deftones"'
"'Creep'","'/track/70LcF31zb1H0PyJoS1Sx1r'","'Radiohead"'
"'Spooky (From "'"'Lock, Stock and Two Smoking Barrels"'"')'","'/track/3eS6UWrA3tCMBOTlvfL3zw'","'Countdown Singers"'
"'Mustang Sally'","'/track/1XlCCgKKrQQfXaDyv4GrZe'","'The Commitments"'
"'Save Tonight'","'/track/2hdhm6piUJnmKXmEmskXCg'","'Eagle-Eye Cherry"'
"'Mmm Mmm Mmm Mmm'","'/track/76nvqWPFucUra1xCkN1tnD'","'Crash Test Dummies"'
"'Bitter Sweet Symphony'","'/track/5yEPxDjbbzUzyauGtnmVEC'","'The Verve"'
"'You Get What You Give'","'/track/32lF1rsInDTdK6Av3KdfaY'","'New Radicals"'
"'Dreams'","'/track/4rV3AYCf4BBBCkIpyLPwUP'","'GABRIELLE"'
"'Mr. Jones'","'/track/7n3REqDfZBpkd0bEpGu2H3'","'Counting Crows"'
"'Truly Madly Deeply'","'/track/41Za52zU5QKSgVg0CxWO68'","'Savage Garden"'
"'Torn'","'/track/1Jaah2tmN9Hv81A87KZ1MU'","'Natalie Imbruglia"'
"'Lovesong - Remastered'","'/track/1y6XHeNN5DSX5PYy7gT0qL'","'The Cure"'
"'Eternal Flame'","'/track/5J1TCBAWhDZ272GLJmxoDY'","'The Bangles"'
"'Ain't Nobody'","'/track/2NVpYQqdraEcQwqT7GhUkh'","'Chaka Khan"'
"'Wicked Game'","'/track/57MbOuT7s2ES3IW9KuZQzI'","'Chris Isaak"'
"'(I Just) Died In Your Arms'","'/track/4ByEFOBuLXpCqvO1kw8Wdm'","'Cutting Crew"'
"'Forever Young'","'/track/4S1VYqwfkLit9mKVY3MXoo'","'Alphaville"'
"'Do You Really Want To Hurt Me'","'/track/1I6q6nwNjNgik1Qe8Oi0Y7'","'Culture Club"'
"'Baby Can I Hold You'","'/track/2DjWsDGgL1xNbhnr7f6t5F'","'Tracy Chapman"'
"'Every Breath You Take'","'/track/2PnNomkEqlg9ADKCVG0Wt0'","'The Police"'
"'Don't You (Forget About Me) - Remastered'","'/track/0A4PZuepTcIQVvA5m7R0M1'","'Simple Minds"'
"'All Out of Love'","'/track/2lmcH6prYo3BlR8LfRUJc3'","'Air Supply"'
"'Heroes - Single Version; 2002 Remaster'","'/track/6PUeRHhaxl66nRbY9dPuOP'","'David Bowie"'
"'OWN MY MIND'","'/track/71tM20RVoYqUUs9EDOso2v'","'Måneskin"'
"'LA PAURA DEL BUIO'","'/track/2l7V3AuTxGuswKjGovaSEv'","'Måneskin"'
"'Changes'","'/track/0t7ahpke8UKi61ikrSh5sd'","'Kungs"'
"'Why Can't We Live Together - Live'","'/track/12VQHZdh6FABdKN5VqeQoS'","'Steve Winwood"'
"'The Joker'","'/track/1bp2IO61zbQrbWNmKKxg3f'","'Steve Miller Band"'
"'Stairway to Heaven - Remaster'","'/track/5CQ30WqJwcep0pYcV4AMNc'","'Led Zeppelin"'
"'Soldier Of Fortune - 2009 Digital Remaster'","'/track/60ifqqPhbselSwXyGrGyMK'","'Deep Purple"'
"'Child in Time - 1995 Remaster'","'/track/573Z2Dty5epeNgKsgoDOlr'","'Deep Purple"'
"'Riders on the Storm'","'/track/14XWXWv5FoCbFzLksawpEe'","'The Doors"'
"'Creepin' (with The Weeknd & 21 Savage)'","'/track/2dHHgzDwk4BJdRwy9uXhTO'","'Metro Boomin"'
"'Aimons-Nous Vivants'","'/track/5wwcuzze9fCy8rgVd1Sb9t'","'François Valéry"'
"'Rapper's Delight'","'/track/4IUVLtJEf5k9PIXXTlZy9L'","'The Sugarhill Gang"'
"'World Hold On - FISHER Rework'","'/track/2YDOjCfkGciEXxSutB6LJR'","'Bob Sinclar"'
"'Si j'étais président'","'/track/00YGCgT3I93nmiipWK0zMw'","'Gérard Lenorman"'
"'Les Rois mages - Remasterisé en 2006'","'/track/2gQY3fCinSN1BE0qiUdXzV'","'Sheila"'
"'Non non rien n'a changé'","'/track/7u9bfApmiQRilzwK2RWUoM'","'Les Poppys"'
"'Everybody's Talkin''","'/track/3c8JemHol1XwFFruXQxjCO'","'Harry Nilsson"'
"'Un Rayo De Sol'","'/track/0bi1fp0S8YDaTGajzrBvRQ'","'Los Diablos"'
"'Charlie, t'iras pas au paradis'","'/track/4bRoQNlvaidDw6VXMPfvtl'","'Gilbert Bécaud"'
"'Venus'","'/track/0Z3xhSOhrawLV81YdiDiiJ'","'Shocking Blue"'
"'Lady D'Arbanville'","'/track/4R6uNlgPV9UZhgLLF578oD'","'Yusuf / Cat Stevens"'
"'Yellow River'","'/track/4VnzKUBMB6cvog8Jvv1few'","'Christie"'
"'In the Summertime (Re-Recorded)'","'/track/6fOXeZLwVZ1J48d3xz6JnY'","'Mungo Jerry"'
"'Na Na Hey Hey Kiss Him Goodbye'","'/track/6MaltbKpZVxlP0FQzpWeS6'","'Steam"'
"'Let It Be - Remastered'","'/track/5V1AHQugSTASVez5ffJtFo'","'The Beatles"'
"'Walk Of Life'","'/track/4tyl9OMKMG8F2L0RUYQMH3'","'Dire Straits"'
"'You Can Call Me Al'","'/track/0qxYx4F3vm1AOnfux6dDxP'","'Paul Simon"'
"'Jump - 2015 Remaster'","'/track/7N3PAbqfTjSEU1edb2tY8j'","'Van Halen"'
"'Everywhere'","'/track/6i8ecOsx4J2Px1maiqzqoG'","'Fleetwood Mac"'
"'Down Under'","'/track/46RVKt5Edm1zl0rXhPJZxz'","'Men At Work"'
"'Africa'","'/track/2374M0fQpWi3dLnB54qaLX'","'TOTO"'
"'Maniac'","'/track/1xPSDf8z4dH46gkvlLtvDO'","'Michael Sembello"'
